start,duration,count
0,1,1
1,1,0
2,1,0
3,1,2
4,1,2
5,1,0
6,1,1
7,1,0
8,1,1
9,1,1
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,1
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,1
39,1,3
40,1,0
41,1,0
42,1,0
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,0
49,1,0
50,1,1
51,1,0
52,1,0
53,1,0
54,1,0
55,1,0
56,1,0
57,1,0
58,1,0
59,1,0
60,1,0
61,1,0
62,1,0
63,1,0
64,1,0
65,1,0
66,1,1
67,1,0
68,1,1
69,1,1
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,1
76,1,0
77,1,0
78,1,0
79,1,0
80,1,0
81,1,0
82,1,1
83,1,1
84,1,0
85,1,0
86,1,0
87,1,0
88,1,0
89,1,0
90,1,1
91,1,1
92,1,0
93,1,0
94,1,0
95,1,0
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,1
102,1,0
103,1,1
104,1,0
105,1,0
106,1,0
107,1,0
108,1,1
109,1,0
110,1,0
111,1,1
112,1,0
113,1,0
114,1,1
115,1,1
116,1,0
117,1,1
118,1,1
119,1,1
120,1,1
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,1
127,1,0
128,1,1
129,1,1
130,1,0
131,1,0
132,1,0
133,1,1
134,1,0
135,1,0
136,1,0
137,1,1
138,1,0
139,1,0
140,1,0
141,1,0
142,1,1
143,1,1
144,1,1
145,1,0
146,1,3
147,1,1
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,1
158,1,0
159,1,1
160,1,1
161,1,0
162,1,1
163,1,1
164,1,1
165,1,0
166,1,0
167,1,0
168,1,1
169,1,1
170,1,1
171,1,0
172,1,0
173,1,1
174,1,0
175,1,1
176,1,0
177,1,1
178,1,0
179,1,1
180,1,0
181,1,0
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,1,0
188,1,0
189,1,1
190,1,1
191,1,1
192,1,0
193,1,0
194,1,0
195,1,0
196,1,0
197,1,0
198,1,0
199,1,0
200,1,1
201,1,2
202,1,0
203,1,0
204,1,1
205,1,0
206,1,0
207,1,1
208,1,0
209,1,1
210,1,0
211,1,1
212,1,0
213,1,0
214,1,0
215,1,0
216,1,0
217,1,1
218,1,2
219,1,0
220,1,0
221,1,0
222,1,2
223,1,1
224,1,2
225,1,0
226,1,0
227,1,0
228,1,0
229,1,1
230,1,0
231,1,0
232,1,1
233,1,1
234,1,0
235,1,0
236,1,0
237,1,0
238,1,0
239,1,0
240,1,1
241,1,1
242,1,0
243,1,0
244,1,1
245,1,0
246,1,0
247,1,0
248,1,0
249,1,0
250,1,0
251,1,0
252,1,1
253,1,1
254,1,0
255,1,0
256,1,1
257,1,0
258,1,0
259,1,0
260,1,0
261,1,0
262,1,0
263,1,0
264,1,2
265,1,0
266,1,1
267,1,0
268,1,2
269,1,1
270,1,1
271,1,1
272,1,0
273,1,1
274,1,1
275,1,0
276,1,1
277,1,0
278,1,0
279,1,2
280,1,3
281,1,0
282,1,2
283,1,3
284,1,1
285,1,0
286,1,0
287,1,0
288,1,0
289,1,1
290,1,2
291,1,0
292,1,2
293,1,1
294,1,1
295,1,0
296,1,0
297,1,2
298,1,0
299,1,1
300,1,2
301,1,1
302,1,1
303,1,0
304,1,0
305,1,0
