start,duration,count
0,1,0
1,1,0
2,1,0
3,1,1
4,1,1
5,1,0
6,1,1
7,1,1
8,1,0
9,1,1
10,1,1
11,1,0
12,1,0
13,1,1
14,1,1
15,1,0
16,1,0
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,0
32,1,0
33,1,0
34,1,2
35,1,0
36,1,1
37,1,0
38,1,0
39,1,1
40,1,1
41,1,1
42,1,0
43,1,0
44,1,1
45,1,1
46,1,1
47,1,0
48,1,1
49,1,1
50,1,0
51,1,0
52,1,1
53,1,0
54,1,0
55,1,1
56,1,0
57,1,0
58,1,1
59,1,1
60,1,1
61,1,0
62,1,0
63,1,2
64,1,1
65,1,1
66,1,1
67,1,0
68,1,0
69,1,1
70,1,0
71,1,0
72,1,1
73,1,0
74,1,1
75,1,1
76,1,1
77,1,1
78,1,2
79,1,1
80,1,1
81,1,0
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,0
88,1,2
89,1,1
90,1,1
91,1,1
92,1,0
93,1,1
94,1,1
95,1,1
96,1,0
97,1,0
98,1,0
99,1,0
100,1,0
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,0
108,1,2
109,1,0
110,1,0
111,1,1
112,1,0
113,1,0
114,1,1
115,1,1
116,1,0
117,1,0
118,1,1
119,1,1
120,1,1
121,1,1
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,0
133,1,1
134,1,0
135,1,1
136,1,1
137,1,1
138,1,0
139,1,0
140,1,1
141,1,1
142,1,4
143,1,2
144,1,0
145,1,0
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,0
152,1,0
153,1,0
154,1,0
155,1,0
156,1,0
157,1,1
158,1,1
159,1,1
160,1,1
161,1,1
162,1,1
163,1,1
164,1,2
165,1,0
166,1,1
167,1,1
168,1,0
169,1,0
170,1,0
171,1,0
172,1,0
173,1,0
174,1,0
175,1,0
176,1,1
177,1,2
178,1,1
179,1,1
180,1,1
181,1,0
182,1,2
183,1,2
184,1,1
185,1,1
186,1,0
187,1,0
188,1,0
189,1,0
190,1,1
191,1,0
192,1,0
193,1,0
194,1,1
195,1,1
196,1,1
197,1,0
198,1,0
199,1,0
200,1,0
201,1,0
202,1,0
203,1,1
204,1,1
205,1,1
206,1,0
207,1,1
