start,duration,count
0,1,0
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,2
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,1
15,1,1
16,1,1
17,1,0
18,1,0
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,1
35,1,1
36,1,0
37,1,1
38,1,0
39,1,0
40,1,0
41,1,0
42,1,0
43,1,0
44,1,1
45,1,1
46,1,0
47,1,1
48,1,0
49,1,0
50,1,1
51,1,1
52,1,0
53,1,1
54,1,1
55,1,0
56,1,1
57,1,0
58,1,0
59,1,1
60,1,0
61,1,1
62,1,1
63,1,0
64,1,0
65,1,0
66,1,1
67,1,1
68,1,0
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,0
75,1,1
76,1,1
77,1,0
78,1,1
79,1,1
80,1,0
81,1,0
82,1,1
83,1,1
84,1,0
85,1,1
86,1,0
87,1,0
88,1,1
89,1,1
90,1,1
91,1,0
92,1,1
93,1,1
94,1,0
95,1,1
96,1,1
97,1,0
98,1,0
99,1,0
100,1,2
101,1,0
102,1,0
103,1,0
104,1,0
105,1,0
106,1,0
107,1,1
108,1,0
109,1,0
110,1,0
111,1,0
112,1,0
113,1,2
114,1,1
115,1,1
116,1,0
117,1,0
118,1,1
119,1,0
120,1,0
121,1,0
122,1,0
123,1,0
124,1,0
125,1,0
126,1,0
127,1,0
128,1,1
129,1,1
130,1,1
131,1,1
132,1,0
133,1,1
134,1,1
135,1,2
136,1,1
137,1,0
138,1,1
139,1,1
140,1,0
141,1,1
142,1,0
143,1,1
144,1,1
145,1,1
146,1,0
147,1,0
148,1,0
149,1,0
150,1,0
151,1,1
152,1,0
153,1,1
154,1,1
155,1,0
156,1,0
157,1,0
158,1,0
159,1,1
160,1,1
161,1,0
162,1,0
163,1,0
164,1,0
165,1,0
166,1,1
167,1,1
168,1,1
169,1,1
170,1,1
171,1,0
172,1,1
173,1,1
174,1,0
175,1,0
176,1,1
177,1,1
178,1,1
179,1,0
180,1,1
181,1,1
182,1,1
183,1,0
184,1,1
185,1,1
186,1,1
187,1,1
188,1,1
189,1,0
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,1,1
197,1,1
198,1,0
199,1,1
200,1,1
201,1,2
202,1,1
203,1,1
204,1,1
205,1,0
206,1,2
207,1,0
