start,duration,count
0,1,0
1,1,0
2,1,2
3,1,2
4,1,0
5,1,1
6,1,0
7,1,1
8,1,3
9,1,1
10,1,1
11,1,1
12,1,0
13,1,1
14,1,0
15,1,2
16,1,1
17,1,1
18,1,1
19,1,2
20,1,0
21,1,1
22,1,0
23,1,1
24,1,1
25,1,2
26,1,1
27,1,1
28,1,1
29,1,1
30,1,2
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,0
39,1,1
40,1,1
41,1,1
42,1,0
43,1,1
44,1,0
45,1,2
46,1,1
47,1,2
48,1,2
49,1,1
50,1,1
51,1,1
52,1,0
53,1,0
54,1,1
55,1,2
56,1,1
57,1,1
58,1,1
59,1,1
60,1,0
61,1,2
62,1,1
63,1,0
64,1,1
65,1,1
66,1,1
67,1,1
68,1,0
69,1,0
70,1,0
71,1,0
72,1,0
73,1,0
74,1,0
75,1,0
76,1,2
77,1,2
78,1,1
79,1,1
80,1,0
81,1,1
82,1,1
83,1,1
84,1,2
85,1,0
86,1,1
87,1,1
88,1,0
89,1,2
90,1,1
91,1,2
92,1,2
93,1,0
94,1,1
95,1,1
96,1,1
97,1,1
98,1,2
99,1,0
100,1,1
101,1,2
102,1,1
103,1,1
104,1,1
105,1,2
106,1,1
107,1,0
108,1,1
109,1,2
110,1,1
111,1,0
112,1,1
113,1,1
114,1,0
115,1,1
116,1,1
117,1,1
118,1,0
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,0
125,1,1
126,1,1
127,1,0
128,1,0
129,1,0
130,1,0
131,1,0
132,1,1
133,1,0
134,1,0
135,1,1
136,1,1
137,1,0
138,1,1
139,1,0
140,1,1
141,1,1
142,1,0
143,1,2
144,1,2
145,1,0
146,1,0
147,1,0
148,1,1
149,1,1
150,1,1
151,1,0
152,1,0
153,1,1
154,1,0
155,1,1
156,1,0
157,1,0
158,1,0
159,1,1
160,1,1
161,1,0
162,1,1
163,1,1
164,1,0
165,1,0
166,1,0
167,1,0
168,1,0
169,1,1
170,1,1
171,1,0
172,1,0
173,1,1
174,1,1
175,1,1
176,1,0
177,1,0
178,1,0
179,1,1
180,1,0
181,1,0
182,1,0
183,1,1
184,1,1
185,1,0
186,1,0
187,1,1
188,1,0
189,1,1
190,1,0
191,1,0
192,1,1
193,1,0
194,1,0
195,1,1
196,1,0
197,1,1
198,1,1
199,1,0
200,1,0
201,1,0
202,1,0
203,1,0
204,1,0
205,1,0
206,1,1
207,1,2
